time,vehicle_id,speed,acceleration,slope_degrees,road_grade_angle,x,y,edge_id,lane_id,signed_power_watts,consumption_power_watts
93.0,384,7.841862,0.0,0.0,0.0,5012.637679708826,1973.5521656050955,4750164#8,4750164#8_0,2720.6853610338685,2720.6853610338685
94.0,384,7.06799845219244,-0.7738635478075597,0.0,0.0,5016.168463285036,1967.429568219757,4750164#8,4750164#8_0,-8555.70404307975,0.0
95.0,384,7.352050548499718,0.2840520963072777,0.0,0.0,5019.841143677325,1961.0609129675533,4750164#8,4750164#8_0,6824.877368690651,6824.877368690651
96.0,384,7.712918756586768,0.3608682080870498,0.0,0.0,5023.694093993399,1954.3796585032487,4750164#8,4750164#8_0,8325.005217410797,8325.005217410797
97.0,384,7.7494966602058035,0.0365779036190359,0.0,0.0,5027.565316619835,1947.6667187211597,4750164#8,4750164#8_0,3270.8234009943353,3270.8234009943353
98.0,384,6.968199284711189,-0.7812973754946144,0.0,0.0,5031.046246016838,1941.6305715700723,4750164#8,4750164#8_0,-8528.991644565416,0.0
99.0,384,7.097909773687169,0.12971048897597992,0.0,0.0,5034.591971645368,1935.4820637406362,4750164#8,4750164#8_0,4395.744182809127,4395.744182809127
100.0,384,7.575647500843078,0.4777377271559091,0.0,0.0,5038.325644733264,1929.0039162473847,4750164#9,4750164#9_0,9982.63243712795,9982.63243712795
102.0,384,4.944441196222328,0.08735571426805055,0.0,0.0,5045.053276974688,1923.021856889452,:30237482_3,:30237482_3_0,2898.1047369450853,2898.1047369450853
103.0,384,4.609731707412288,-0.3347094888100397,0.0,0.0,5048.898026745604,1925.4566889546693,4744915#10,4744915#10_0,-1176.2875137319625,0.0
105.0,384,6.632262978224352,0.6216911201773057,0.0,0.0,5058.525935155807,1933.4924072152055,4744915#11,4744915#11_0,10767.963709016994,10767.963709016994
106.0,384,7.369075515364565,0.7368125371402128,0.0,0.0,5064.183164692647,1938.214515455627,4744915#11,4744915#11_0,13597.104041987644,13597.104041987644
107.0,384,7.14625141330649,-0.222824102058075,0.0,0.0,5069.66933246074,1942.7938378708388,4744915#11,4744915#11_0,-682.4545406890293,0.0
108.0,384,7.072945637592382,-0.07330577571410757,0.0,0.0,5075.099223481672,1947.3261858987144,4744915#11,4744915#11_0,1474.416245330082,1474.416245330082
109.0,384,7.186352723917261,0.11340708632487839,0.0,0.0,5080.616176972939,1951.931205259071,4744915#11,4744915#11_0,4203.796872428849,4203.796872428849
110.0,384,6.843037206503831,-0.3433155174134299,0.0,0.0,5085.869567595088,1956.3162278192237,4744915#11,4744915#11_0,-2290.9723037524473,0.0
111.0,384,6.851442144309439,0.008404937805607915,0.0,0.0,5091.1294106768855,1960.706636268826,4744915#11,4744915#11_0,2586.419515324751,2586.419515324751
112.0,384,6.861601138404838,0.010158994095399443,0.0,0.0,5096.397052805028,1965.1035546082555,4744915#11,4744915#11_0,2613.4726466923876,2613.4726466923876
113.0,384,6.8304115385155075,-0.031189599889330566,0.0,0.0,5101.640750718544,1969.4804866323939,4744915#11,4744915#11_0,2033.0824963287232,2033.0824963287232
114.0,384,6.690133753964945,-0.1402777845505625,0.0,0.0,5106.776757562201,1973.7675285636717,4744915#11,4744915#11_0,529.3114132950247,529.3114132950247
116.0,384,7.332960279971629,-0.4020666102180259,0.0,0.0,5118.344431404331,1983.4231042508022,4744915#11,4744915#11_0,-3382.0796103898047,0.0
117.0,384,7.766807252411999,0.43384697244036996,0.0,0.0,5124.306999070203,1988.400079239308,4744915#11,4744915#11_0,9526.475215527003,9526.475215527003
118.0,384,7.284392137463473,-0.48241511494852585,0.0,0.0,5129.911766440554,1993.052435346305,:cluster_30237483_4471046729_6247804764_6247804766_7167743161_7167743164_2,:cluster_30237483_4471046729_6247804764_6247804766_7167743161_7167743164_2_0,-4540.335514665486,0.0
119.0,384,6.583359064195573,-0.7010330732679,0.0,0.0,5134.990110115348,1997.2410578312033,:cluster_30237483_4471046729_6247804764_6247804766_7167743161_7167743164_2,:cluster_30237483_4471046729_6247804764_6247804766_7167743161_7167743164_2_0,-6943.968649796475,0.0
