time,vehicle_id,speed,acceleration,slope_degrees,road_grade_angle,x,y,edge_id,lane_id,signed_power_watts,consumption_power_watts
66.0,437,8.722342999999999,0.0,0.0,0.0,4991.98,1143.37,42520941#2,42520941#2_1,2956.737311703332,2956.737311703332
69.0,437,8.212062882654024,-0.43860742708202594,0.0,0.0,5008.484439531959,1161.3651177241616,831157582#1,831157582#1_1,-4477.433971211609,0.0
70.0,437,8.681245368461711,0.4691824858076874,0.0,0.0,5014.396466055473,1167.7361424796818,831157582#1,831157582#1_1,11195.692488932202,11195.692488932202
71.0,437,7.849632839345029,-0.8316125291166827,0.0,0.0,5019.7421550178715,1173.496860328171,831157582#1,831157582#1_1,-10499.816043322207,0.0
72.0,437,7.5452831127900915,-0.3043497265549373,0.0,0.0,5024.880578365781,1179.0342208632887,831157582#1,831157582#1_1,-2007.486081256765,0.0
73.0,437,7.8024127187194585,0.25712960592936707,0.0,0.0,5030.194109890654,1184.7602846333943,831157582#1,831157582#1_1,6774.140095405291,6774.140095405291
74.0,437,7.7826837769696775,-0.019728941749781015,0.0,0.0,5035.494205782508,1190.4718696540865,831157582#1,831157582#1_1,2394.2639646210732,2394.2639646210732
75.0,437,7.5115221659640135,-0.27116161100566405,0.0,0.0,5042.86975300025,1193.705116203939,831157582#1,831157582#1_0,-1490.3581997681094,0.0
76.0,437,8.032095716287039,0.5205735503230251,0.0,0.0,5048.484431084031,1199.4357223508327,831157582#1,831157582#1_0,11240.046458464552,11240.046458464552
77.0,437,8.00734869788739,-0.024747018399649434,0.0,0.0,5054.081810252714,1205.1486724063693,831157582#1,831157582#1_0,2362.691939203429,2362.691939203429
78.0,437,8.244133000284089,0.2367843023966998,0.0,0.0,5059.844708817605,1211.0305593902904,831157582#1,831157582#1_0,6780.973318025912,6780.973318025912
79.0,437,8.508384809571906,0.264251809287817,0.0,0.0,5066.137412576482,1216.7396351059886,831157582#1,831157582#1_0,7452.34197181943,7452.34197181943
80.0,437,8.593497792467131,0.08511298289522529,0.0,0.0,5070.352289936876,1224.8005564142356,831157582#1,831157582#1_1,4402.902145816641,4402.902145816641
81.0,437,7.872115635498083,-0.7213821569690486,0.0,0.0,5076.229528176264,1230.0517029143618,831157582#1,831157582#1_1,-8774.148057260823,0.0
82.0,437,8.240854296319775,0.36873866082169204,0.0,0.0,5082.361464908863,1235.5717956296223,831157582#1,831157582#1_1,8981.146987254675,8981.146987254675
86.0,437,0.10438117465189736,-0.28783423988635337,0.0,0.0,5088.47218095566,1241.07278505693,831157582#1,831157582#1_1,959.8848977860462,959.8848977860462
87.0,437,0.05723012196442049,-0.04715105268747687,0.0,0.0,5088.514765313357,1241.11112035179,831157582#1,831157582#1_1,1005.9062073415092,1005.9062073415092
88.0,437,0.016823515958374405,-0.040406606006046085,0.0,0.0,5088.527283522243,1241.1223894950788,831157582#1,831157582#1_1,1001.9660174419263,1001.9660174419263
89.0,437,0.005789700467053339,-0.011033815491321066,0.0,0.0,5088.531591580084,1241.1262676953504,831157582#1,831157582#1_1,1001.0210565502407,1001.0210565502407
90.0,437,0.004731748846312948,-0.001057951620740391,0.0,0.0,5090.67685654075,1238.7510073187825,831157582#1,831157582#1_0,1000.9300918008478,1000.9300918008478
95.0,437,8.593014992702408,0.06992771454311963,0.0,0.0,5112.259451223124,1257.3980375436583,831157582#6,831157582#6_1,4138.377793119722,4138.377793119722
96.0,437,8.054556432248681,-0.5384585604537264,0.0,0.0,5119.049520571049,1261.756916807262,831157582#6,831157582#6_1,-6008.395740159576,0.0
97.0,437,7.972747055998659,-0.08180937625002205,0.0,0.0,5125.770623819756,1266.07152334192,831157582#6,831157582#6_1,1433.804504451529,1433.804504451529
98.0,437,8.613012637871904,0.640265581873245,0.0,0.0,5133.084765456555,1270.6457435056514,831157582#6,831157582#6_1,14096.871540577311,14096.871540577311
99.0,437,8.08800573870412,-0.5250068991677832,0.0,0.0,5140.364482003612,1274.4521196518601,831157582#8,831157582#8_1,-5815.6547141417805,0.0
100.0,437,8.328063299552193,0.24005756084807217,0.0,0.0,5147.661854783918,1278.2801944021471,831157582#8,831157582#8_1,6898.945818426453,6898.945818426453
101.0,437,7.888825338309287,-0.43923796124290604,0.0,0.0,5154.70559922459,1281.9890270773988,:530924818_0,:530924818_0_1,-4285.741439601308,0.0
102.0,437,8.557739024328654,0.6689136860193674,0.0,0.0,5162.242395949085,1286.0368847195527,243598403#0,243598403#0_1,14506.678123452948,14506.678123452948
103.0,437,8.119988199345423,-0.43775082498323137,0.0,0.0,5168.783030811195,1290.6662623628965,243598403#0,243598403#0_1,-4406.044779391274,0.0
104.0,437,7.756086022708221,-0.36390217663720215,0.0,0.0,5174.983456051056,1295.150399429789,243598403#0,243598403#0_1,-3018.6742678349265,0.0
105.0,437,8.044068175459868,0.2879821527516473,0.0,0.0,5181.158002994895,1300.1394783070666,243598403#0,243598403#0_1,7466.055527464034,7466.055527464034
106.0,437,7.587415808880357,-0.4566523665795108,0.0,0.0,5187.06592362023,1304.8462333746522,243598403#1,243598403#1_1,-4363.348647539211,0.0
107.0,437,7.909021699753246,0.32160589087288827,0.0,0.0,5193.306454000884,1309.6979078528154,243598403#1,243598403#1_1,7890.418907747461,7890.418907747461
108.0,437,7.986224393009795,0.07720269325654971,0.0,0.0,5199.616897107859,1314.5921537193299,:573484682_1,:573484682_1_1,4007.3817648153936,4007.3817648153936
109.0,437,8.257503136572083,0.27127874356228787,0.0,0.0,5206.194233261001,1319.6246917929207,:573484682_1,:573484682_1_1,7367.917599997116,7367.917599997116
110.0,437,7.660783724764949,-0.5967194118071344,0.0,0.0,5212.317177010147,1324.2373330675503,243598403#2,243598403#2_1,-6585.791791889677,0.0
111.0,437,7.835256250518992,0.1744725257540436,0.0,0.0,5218.582456588191,1328.9472630849748,243598403#2,243598403#2_1,5487.971847363591,5487.971847363591
115.0,437,8.053309116185298,0.5241062653800164,0.0,0.0,5207.7374575366275,1349.0269296736903,243598404#0,243598404#0_1,11325.644112666492,11325.644112666492
116.0,437,8.345107280461704,0.2917981642764058,0.0,0.0,5202.6289775724335,1355.6089062700507,243598404#2,243598404#2_1,7786.4135041824275,7786.4135041824275
117.0,437,8.488746508931397,0.14363922846969324,0.0,0.0,5197.428260753386,1362.3149818413,243598404#2,243598404#2_1,5362.630417537722,5362.630417537722
118.0,437,8.302744978711596,-0.18600153021980148,0.0,0.0,5192.34114174937,1368.8738384817316,243598404#2,243598404#2_1,-285.487115170901,0.0
119.0,437,7.431294187133788,-0.871450791577808,0.0,0.0,5187.351679313653,1374.2560872885608,:530964307_0,:530964307_0_2,-10502.613144667064,0.0
