time,vehicle_id,speed,acceleration,slope_degrees,road_grade_angle,x,y,edge_id,lane_id,signed_power_watts,consumption_power_watts
53.0,383,7.812707,0.0,0.0,0.0,5093.82,1541.99,129216266#3,129216266#3_0,2713.086856373536,2713.086856373536
55.0,383,7.155161892676324,0.3927849039668221,0.0,0.0,5088.082431280383,1553.6096197436384,129216266#4,129216266#4_0,8237.885667115785,8237.885667115785
56.0,383,7.798033645406894,0.6428717527305707,0.0,0.0,5084.630955426558,1560.6022201747646,129216266#4,129216266#4_0,12863.652282136587,12863.652282136587
57.0,383,7.666356578639306,-0.1316770667675886,0.0,0.0,5081.237760959698,1567.4767440297026,129216266#4,129216266#4_0,630.3815520610201,630.3815520610201
58.0,383,7.808474795224674,0.14211821658536827,0.0,0.0,5077.7816637643755,1574.4787071786673,129216266#4,129216266#4_0,4959.797659196752,4959.797659196752
60.0,383,7.297142319714248,0.7734031778294597,0.0,0.0,5071.6644243662895,1586.8720753098555,129216266#4,129216266#4_0,14012.381813679101,14012.381813679101
61.0,383,6.94940103346721,-0.3477412862470377,0.0,0.0,5068.588560506727,1593.1036955967613,129216266#4,129216266#4_0,-2400.9895691532797,0.0
62.0,383,6.541911828315414,-0.407489205151796,0.0,0.0,5065.693070760345,1598.969922761173,129216266#4,129216266#4_0,-3005.4027165836815,0.0
63.0,383,7.509222336050652,0.9673105077352373,0.0,0.0,5062.3694634254925,1605.7035610985747,129216266#4,129216266#4_0,17347.907595884222,17347.907595884222
64.0,383,7.64448426350259,0.1352619274519382,0.0,0.0,5058.985988701704,1612.5584909438744,129216266#4,129216266#4_0,4763.944506624366,4763.944506624366
65.0,383,7.138882139006227,-0.5056021244963631,0.0,0.0,5055.826295197099,1618.9600393740793,129216266#4,129216266#4_0,-4770.0001792773,0.0
67.0,383,5.320922730080925,-0.18952958667650854,0.0,0.0,5049.39802140973,1627.0678562491244,:30294194_1,:30294194_1_0,65.33720311198272,65.33720311198272
68.0,383,5.065445630360931,-0.255477099719994,0.0,0.0,5046.939663602876,1626.367359818622,577801297#1,577801297#1_0,-570.9581559991968,0.0
69.0,383,4.258873920972995,-0.8065717093879359,0.0,0.0,5043.076044802178,1624.5761953652384,577801297#1,577801297#1_0,-5085.669192436244,0.0
70.0,383,4.4841822490250465,0.22530832805205137,0.0,0.0,5039.008027959096,1622.6902724673112,577801297#1,577801297#1_0,3967.8801517609613,3967.8801517609613
71.0,383,4.128203127548634,-0.35597912147641253,0.0,0.0,5035.262952732016,1620.954064531688,577801297#1,577801297#1_0,-1132.6604612798928,0.0
72.0,383,4.662833460016712,0.5346303324680779,0.0,0.0,5031.032864836733,1618.9930058808316,577801297#1,577801297#1_0,7010.181484547203,7010.181484547203
73.0,383,4.729385561115644,0.0665521010989325,0.0,0.0,5026.742401369457,1617.0039572589178,577801297#1,577801297#1_0,2612.942241072692,2612.942241072692
74.0,383,4.007630756536103,-0.7217548045795414,0.0,0.0,5023.106708502159,1615.318458724189,577801297#1,577801297#1_0,-4040.945725556242,0.0
