time,vehicle_id,segment_id,speed,acceleration,road_grade_angle,consumption_power_watts
1133.0,154,0,8.709299375094343,0.0,0.0,3953.144057994974
1134.0,154,0,7.773858725652899,-0.9354406494414436,0.0,1000.0
1135.0,154,0,7.882919240682769,0.1090605150298698,0.0,5472.809702826951
1136.0,154,0,7.281593867696527,-0.601325372986242,0.0,1000.0
1137.0,154,0,7.391406612306664,0.1098127446101369,0.0,5248.843034565342
1138.0,154,0,7.1392832814454,-0.2521233308612638,0.0,1000.0
1139.0,154,0,6.88054380162705,-0.25873947981834977,0.0,1000.0
1140.0,154,0,8.104802395899727,1.2242585942726762,0.0,23888.1485341837
1141.0,154,0,7.622401739274107,-0.4824006566256198,0.0,1000.0
1142.0,154,0,6.517554538095794,-1.1048472011783126,0.0,1000.0
1143.0,154,0,6.962809233052853,0.4452546949570584,0.0,9776.95005299525
1144.0,154,0,6.862226133145004,-0.10058309990784853,0.0,2074.3442368208325
1145.0,154,0,4.983217867957091,-1.8790082651879132,0.0,1000.0
1146.0,154,0,3.3712847806813744,-1.6119330872757165,0.0,1000.0
1147.0,154,0,0.6898820366130453,-2.681402744068329,0.0,1000.0
1148.0,154,0,0.11636352877874728,-0.5735185078342979,0.0,1887.9440118715133
1149.0,154,0,0.036891774686687216,-0.07947175409206006,0.0,2001.3920375363082
1150.0,154,0,0.0008180783401344501,-0.03607369634655277,0.0,2000.1027815008565
1151.0,154,0,0.0,-0.0008180783401344501,0.0,2000.0
1152.0,154,0,0.0,0.0,0.0,2000.0
1153.0,154,0,0.0,0.0,0.0,2000.0
1154.0,154,0,0.0,0.0,0.0,2000.0
1155.0,154,0,0.0,0.0,0.0,2000.0
1156.0,154,0,0.0,0.0,0.0,2000.0
1157.0,154,0,0.00012728400972032494,0.00012728400972032494,0.0,2000.0253250401897
1158.0,154,0,0.0,-0.00012728400972032494,0.0,2000.0
1159.0,154,0,0.0,0.0,0.0,2000.0
1172.0,154,1,1.6664019875136977,1.6664019875136977,0.0,7957.440880648605
1173.0,154,1,3.2560116019241354,1.5896096144104377,0.0,13142.465690666058
1174.0,154,1,4.64154140431451,1.3855298023903746,0.0,15982.328747592084
1175.0,154,1,6.391606138264931,1.7500647339504214,0.0,26015.326026387567
1176.0,154,1,8.294490590798839,1.9028844525339075,0.0,35810.68015699862
1177.0,154,1,9.462442955822013,1.167952365023174,0.0,26551.466990915378
1178.0,154,1,11.912699036142117,2.450256080320104,0.0,64060.9157588196
1179.0,154,1,13.360908412938265,1.4482093767961484,0.0,44651.65929852456
1180.0,154,1,11.980093761177228,-1.3808146517610371,0.0,1000.0
1181.0,154,1,8.228065234904605,-3.752028526272623,0.0,1000.0
1182.0,154,1,3.728065234904605,-4.5,0.0,1000.0
1183.0,154,1,0.01717595019746306,-3.710889284707142,0.0,1874.3080228919353
1184.0,154,1,0.0008649496553112375,-0.016311000542151823,0.0,2000.1432946200393
1185.0,154,1,0.0005960339804146744,-0.0002689156748965631,0.0,2000.1181114623394
1186.0,154,1,0.0,-0.0005960339804146744,0.0,2000.0
1187.0,154,1,0.0,0.0,0.0,2000.0
1188.0,154,1,0.0,0.0,0.0,2000.0
1189.0,154,1,0.0,0.0,0.0,2000.0
1190.0,154,1,0.0,0.0,0.0,2000.0
1191.0,154,1,0.0,0.0,0.0,2000.0
1192.0,154,1,0.0,0.0,0.0,2000.0
1193.0,154,1,0.0,0.0,0.0,2000.0
