client_id,num_rows,num_train_windows,num_val_windows,mean_acceleration,mean_abs_acceleration,acceleration_std,profile,profile_code
19,49,12,3,-0.17774080357335392,0.8001662013618326,1.3555389058825165,Calm,0
34,42,6,2,-0.17576773809523813,0.6325255480661103,1.0934680771096152,Calm,0
138,48,11,3,-0.15751593623231006,0.8792493311510391,1.3610705524410631,Calm,0
116,44,8,2,-0.14431990909090905,0.4559460768600076,0.8215402980309866,Calm,0
35,64,24,6,-0.13856934841341872,0.6391508509400388,1.0154062954752694,Calm,0
141,48,11,3,-0.1377400197139739,0.5817835101009351,0.7796627263857265,Calm,0
0,57,18,5,-0.1295160800539151,0.6592110495892576,1.1813444614054602,Calm,0
136,73,31,8,-0.10988753424657534,0.752695976292337,1.3412163242319628,Calm,0
137,95,48,13,-0.08808755789473685,0.7156173136150932,1.0811707554725372,Calm,0
52,114,64,16,-0.08507560526315787,0.8042071751159371,1.391664536554372,Calm,0
71,79,36,9,-0.08293558987108951,0.5409459132447225,0.8675461153690496,Calm,0
105,114,64,16,-0.0732309298245614,0.5802514506768635,0.8954361490094043,Calm,0
157,143,87,22,-0.06834682063494353,0.7992832888734221,1.3321037590918536,Calm,0
94,136,81,21,-0.06822024999999998,0.7716755207073963,1.2495901766674602,Calm,0
147,79,36,9,-0.06582757532086138,0.5442727515895668,0.701409683591795,Calm,0
111,263,183,46,-0.05655817870722432,0.9644255371397317,1.462684786029129,Calm,0
75,253,175,44,-0.05618494126345815,0.8533779487909596,1.2847785039380155,Calm,0
128,152,94,24,-0.05501636184210525,0.7109379803370923,1.162356866981473,Calm,0
39,146,89,23,-0.05440174657534247,0.655695746161435,1.124207033108247,Calm,0
10,155,96,25,-0.05418799354838708,0.8510431748685714,1.3626484675707529,Calm,0
26,150,92,24,-0.05329533999999998,0.7214492785370433,1.234166893440901,Calm,0
114,67,26,7,-0.04744248500831137,0.6726442879281881,0.9431927037707178,Calm,0
140,99,52,13,-0.047283245992385634,0.827134639942432,1.20570608683032,Calm,0
149,193,127,32,-0.04610784702351496,0.6590575928928918,1.029180427594124,Calm,0
22,133,79,20,-0.03914574436090226,0.5004078482520029,0.7861770134839408,Calm,0
15,53,15,4,-0.036890730720419075,0.5891153235868851,0.9222965283050116,Calm,0
48,96,49,13,-0.034398965407178204,0.7700357375939516,1.2066684760159394,Calm,0
88,237,162,41,-0.03372771308016876,0.8279495447036378,1.380968966066952,Calm,0
38,82,38,10,-0.032388669517502015,0.6848102319832936,0.9369239407291556,Calm,0
66,127,74,19,-0.03211666141732282,0.4338001833875522,0.6506324857611661,Calm,0
156,279,196,49,-0.028438440860215058,0.852615484835168,1.3548878486889306,Calm,0
17,240,164,42,-0.027220384975023926,0.7591051054303736,1.2270623773497482,Calm,0
123,255,176,45,-0.026916703988202065,0.7230554561138002,1.1981304758433955,Calm,0
6,277,194,49,-0.026875309786108675,0.793350752608781,1.3087299110857664,Calm,0
161,168,107,27,-0.025886904761904764,0.9428703912830957,1.3651029701588155,Calm,0
93,271,189,48,-0.024546748761381194,0.7778644718444173,1.2527018903589582,Calm,0
2,232,158,40,-0.02408035613874879,0.8492912351981662,1.3655616181929324,Calm,0
119,264,184,46,-0.023375455482806607,0.681790574529481,1.0864267501748355,Calm,0
112,270,188,48,-0.02271774814814815,0.9708115321234057,1.398158849529759,Calm,0
162,415,304,77,-0.022606492484956803,0.766285154806902,1.2097724642122996,Calm,0
14,378,275,69,-0.021745466356193448,0.758538660103716,1.1747844821373488,Calm,0
86,276,193,49,-0.021450318840579706,0.9607458224911617,1.4725206502581198,Middle,-1
46,423,311,78,-0.020125910165484637,0.8124251968750001,1.3010178863135209,Middle,-1
27,348,251,63,-0.019926238012999573,0.7870804454100963,1.2208534941156632,Middle,-1
166,334,240,60,-0.01687846838965525,0.687308102762874,1.1228974254261865,Middle,-1
155,177,114,29,-0.016211256533012097,0.8851199203643935,1.3266606084985464,Middle,-1
142,404,296,74,-0.015882446931201485,0.8307099913239333,1.26453857146174,Middle,-1
30,474,352,88,-0.015632483667043447,0.7244459748401647,1.1092563851104968,Middle,-1
120,297,210,53,-0.015530728367613626,0.6288757565697957,0.924085183272729,Middle,-1
99,392,286,72,-0.015472763003368225,0.8093902148966785,1.2882397822222154,Middle,-1
132,424,312,78,-0.01507722513046333,0.7952327178219291,1.2590431172924859,Middle,-1
3,183,119,30,-0.014544226378888416,1.0172429525664388,1.550665406405916,Middle,-1
144,204,136,34,-0.014055352941176472,0.7369147067286461,1.1485866520002423,Middle,-1
49,462,342,86,-0.012238017316017301,0.7568290431800143,1.2206986906464268,Middle,-1
32,144,88,22,-0.011889302414365298,0.62942850131989,1.07277389394948,Middle,-1
125,239,164,41,-0.011760723930558806,0.7593722534576172,1.1629481691560435,Middle,-1
106,96,49,13,-0.011218586380467363,0.529235186425672,0.6846509323372628,Middle,-1
61,180,116,30,-0.010097008666021754,0.7066501862776993,1.0525976806845025,Middle,-1
59,379,276,69,-0.009915968232886624,0.8119083178879829,1.2234557084639581,Middle,-1
72,298,211,53,-0.009770405166986565,1.0121485980508058,1.4748004212184456,Middle,-1
133,114,64,16,-0.009684182556035618,0.9809902168660131,1.4462000763337293,Middle,-1
87,228,155,39,-0.009557627413835267,0.8368511146754268,1.3230965179938197,Middle,-1
18,311,221,56,-0.009233335051749081,0.7707608296797799,1.248384440210553,Middle,-1
9,362,262,66,-0.008817665822617147,0.7609613416292502,1.1561394882743972,Middle,-1
41,256,177,45,-0.008196694190673443,0.7050885955917305,1.1025922531647203,Middle,-1
145,341,245,62,-0.007912022063034069,0.7315459879750801,1.164489854096915,Middle,-1
107,494,368,92,-0.007568187731400507,0.6390362424420195,1.0557472352219968,Middle,-1
37,266,185,47,-0.006587053614381306,0.6737248555242094,1.031587555044905,Middle,-1
65,549,412,103,-0.006400847629266507,0.6498486316504728,1.0393516175438748,Middle,-1
63,155,96,25,-0.0062126729937811,0.7013040436520002,1.0957468864224673,Middle,-1
98,228,155,39,-0.004683360938910033,0.6875575385621944,1.0493608695864212,Middle,-1
97,325,232,59,-0.004522139653557533,0.6351191823379571,0.983509829516076,Middle,-1
51,271,189,48,-0.00399144024251379,0.7399851112445721,1.1922892122655375,Middle,-1
92,278,195,49,-0.0036265107788808807,0.6765530692376792,1.0762352330352778,Middle,-1
21,309,220,55,-0.0035915429275151355,0.8045236586819251,1.288438284170028,Middle,-1
153,381,277,70,-0.003394392757979661,0.8185513665162863,1.3152527837172965,Middle,-1
11,197,130,33,-0.003068582085197601,0.7969270407575244,1.2427098915068813,Middle,-1
58,201,133,34,-0.0030514050531085203,0.922657535919126,1.3904251893560007,Middle,-1
56,275,192,49,-0.0030094964979216323,0.6463446580208245,1.0418645031685783,Middle,-1
29,111,61,16,-0.0028700539479367786,0.5191058122551573,0.7310209676842419,Middle,-1
81,170,108,28,-0.0028578346876643166,1.1028744641291017,1.530853649537804,Middle,-1
67,250,172,44,-0.0028548755954950983,0.7992151500117688,1.2282125004049886,Middle,-1
126,254,176,44,-0.0026626341852476706,0.8475531363822465,1.3251751355518377,Middle,-1
168,311,221,56,-0.0026454451282050427,0.9290374903415652,1.3755558266878267,Middle,-1
